text,sentiment,label
know hindi parin prepared magka jowa that shit kaya pls okay akin mag-isa basta vp manalong president paparating halalan lord hindi kona kaya maraming negativity please huhuhu,Positive,Non-hate
ruling comelec dq bk iyak kayo lumabas tanging pagasa mabigyan presidential pardon magnanakaw sinungaling tax evader addict,Negative,Hate
pumapapel lbm kuno malayo eleksyon nung wala pulitika tumutulong vp lbm years walang mismo sinungaling,Negative,Hate
molang but i'm sure nayan mostly maybe dyan madam boboto ninyo good luck see next election kong makukuha ninyo,Negative,Hate
meron naman siguro nagdonate pero wala lima hulaan possible reasons pres takot macorrupt for election idodonate wala gaanong media coverage kaya ganun napansin ibang bansa pandemic priority bansa,Neutral,Non-hate
plastic madam yay tulong weee dahil kapalit ochechera real talk kung hindi election kahit anino wala dyan tse,Negative,Hate
coz vigilant against kabilang fence mananalo sina pero comelec bantayan,Negative,Hate
dios neng opponent mama try also tirade other aspirants neng laging nakikita don't tell takot kayo magiging resulta election relax chill just wait see for final verdict,Negative,Hate
kailangn tao tulong pahirapan halos namn tao biktima bagyo nka inis mga pulitiko walang mga oras election mka tikim boto mga pulitiko dyan yumaman iisip mga tao pasko taon walang kain walang ultimo tubig,Negative,Hate
ofcourse kaya sana cancel eleksyon para president presidente dahil pinky they care name election,Negative,Hate
iyak naman mga dilawan next move palpak yung welga comelec ibahin naman para unique hahaha,Negative,Hate
wow grabe comelec mapapamura galit poot hinagpis,Negative,Hate
kahit billboard surveys kung election talo talo talaga that's fact bboooom iyak,Negative,Hate
hindi nanalo eleksyon ewan nalang,Negative,Hate
grabe daw galit magnanakaw kapwa magnanakaw relate kayo dito hehehe matalo daw sana election walang ninakaw gobyerno,Positive,Non-hate
iexplain hanggang kailan talaga pwede kayo tumanggap dq case fact tinatanggap until now way galit comelec dahil protesta nito honest,Negative,Hate
camp employ kinds dirty tactics hoping they this election enough enough for thousands suffered under your father's regime hindi magbubunga santol kawawa naman kung mauupo,Negative,Hate
kaya takot takot yung kalaban mabigyan show kung ppuede ibaon kris dahil kumuda windang sana maging nya marami tayong laban lalu papalapit eleksyon,Positive,Non-hate
wahahahahahahaha yung top spender election pero hindi nangalahati iyak pisot,Negative,Hate
sir makakarug keng tutu importante talaga next election alam muba pwede magdonate hq vp fernando sir,Neutral,Non-hate
daw puro publicity eh transparency dati tumutulong tapos kayo eksena kasi eleksyon,Negative,Hate
hala bira support hanggang maipanalo laban nag uumpisa matutulog araw election bilangan let's protect sara,Positive,Non-hate
wala akong wala akong alam pati mga goberno sinali hindi hahaha wala namn akong galit kahit,Neutral,Non-hate
spox paano natin pa-pacify yung mga pag-agam takot contract logistics-comelec thanks,Neutral,Non-hate
mukhang pinaghalong cory mirriam vp suportado middle class dilawan dahil lumakas survey dahil propaganda dilaw pera pagdating election masama kapag itatatwa sabihing totoo,Neutral,Non-hate
that's why can't president parang ibig kang ipahiwatig dutae parang signal gawin lahat para mamagic election matalo vp,Negative,Hate
true double standards nandoon daw kasi malapit eleksyon bakit naman pupunta para mangampanya eh hindi naman vote province palawan btw won palawan last pls stfu trolls ungrateful btches,Negative,Hate
pakitang tae naman niong akalain instead mamigay para mga tao inuna speech niang walang kabolohan para makita mga tao paligid kunwari concern cya ngaun kc malapit eleksyon,Negative,Hate
"hahaha basta pinklawan dami tawa sau,kung walang dayaan bakit tumakas nagpapakita kung walang dayaan nasaan yung bumoto makita suporta caravan niya",Negative,Hate
toutube vlog two cents bakit hindi magiging presidente election,Neutral,Non-hate
quezon city urban poor associates for kami laylayan para tunay para mahihirap lahat kandidato para masa pero nagawa noong wala eleksyon nakakaunawa alam namin matutulungan kami,Neutral,Non-hate
yuck mga tao omegle lalo presidnetial election,Negative,Hate
yun yung vote buying paglabag election code alam nmn siguro kng gaano kalaking pangalan villafuerte sur pero natalo syempre mtanggap pgktalo talunan magkakaso parang eusebio vico,Negative,Hate
ginaya kami inyo hilig follow comelec para dq kahit maglupasay diyan talo,Negative,Hate
katakot-takot dami mga tao caravan pinanood iyong frontal video seems that seeing existential election when soul this country regime edsa regime,Negative,Hate
really need hindi pangulo lagi nauuna abot tulong mga victims know she still has lot offer pangulo baka sabihin dahil mage election kaya ganun dati palang laging nauuna,Positive,Non-hate
ipaalala pagtatago singapore dati tska dacer case baka sakali mawala pgka bilib nya enabler dutz ejk nag tono ngaung eleksyon dahil need,Negative,Hate
mqgpapasalamat prrd for what inyo hahaha bakit pagpao pakita kunwari tumutulong hahaha kasi election kaya gumagawa gimik hahaha,Negative,Hate
"bumili meryenda asawang nagtitinda bibingka,mga lolo lola sila.napunta eleksyon kwentohan lola:si vp daw pailalim tumingin mga kausap isip ko;what lolo:si marcosjr daw ok!(at tono makaka counter dios",Negative,Hate
dun takot sure winner kasi,Negative,Hate
god's magic mukhang dipa aabot voters darating,Negative,Hate
huwag sasabihing pamumulitiko lng ginagawa vp hindi eleksyon noon talaga rumeresponde sakuna,Positive,Non-hate
jowa mga natin payagan lumabas election,Negative,Hate
noong walang pre election campaign show support pero tanga hindi nakikita kung paano sinusuportahan sara caravan kalye survey wala noon,Negative,Hate
sana mabuti para para next generation takot pangamba nararamdaman bawat atin darating eleksyon sana manaig mapagtagumpayan dulo nito kabutihan magwawagi,Positive,Non-hate
sino lolokohin pulse asia itong polling company nag ooperate for profit tulad pahayag mga bayaran bobong huwag kayo'ng madaling pabola sige pagkampanya hanggang eleksyon labanan dq,Negative,Hate
tingnan natin oagdating election election tinalo single digit rating vp mga survey uulitin pagkatalo god willing,Positive,Non-hate
ayos kagaya vp leni...may eleksyon wala...tumutulong lalo nayong laylayan,Positive,Non-hate
lahat mga kaalyado backer posisyon pero takot kaya binubully comelec nagpapanggap aping saan natutunan erap school acting baka naman imelda school love poor school acting,Negative,Hate
too coward that takot silang gerahin mga suporters when fact extremely obvious naman dami nyang flags,Negative,Hate
walang kupas humpay pagmalasakit pagtulong noon eleksyon wala,Positive,Non-hate
seryoso partylist titiwala nito paano nakakasigurong malinis magiging halalan nakakasulasok nakakapang galaiti galit banaboy mahal pero pucha ansakit,Negative,Hate
mind conditioning ginagawa false asia kung tutuusin malalaman talaga dating election kung totoo talaga survey trillanes pasok top senatorial race pero election pasok senatorial race nakaka tawa,Negative,Hate
biglang nagbigay pasig ayuda last month..at ngangalap tao mangangampanya para kanila election...samantalang noong kasagsagan pandemya wala inayuda..ano ipagtatanggol,Negative,Hate
"takot,nakagaya ninyo,magfile kaagad case,,hindi nagfile,nagcampaign na,kaya gusto adminstrasyon charter change,pero sino nag opposed,mga yellow pinklawan ettattss,kaya deritso nanaman kayo inidoro niyan,lalo mga senatorial candidates",Negative,Hate
sus andun naman kasi election just for photo ops usual wala,Negative,Hate
nagmumukha tanga kahahanap drugtest halatang nandadamay pati comelec sinasama nagmumukha tuloy mangmang abogado alam niya ginagawa niya pala tinapos kandidato,Negative,Hate
pinkalawan umaangat daw lugaw maabot daw lugaw july kaya daw magkampante bbm...ay teka tapos election nun..haha,Negative,Hate
ate inutil kasi namin tacloban pinabakwit ayaw bumakwit nagpaparty thank pnoy mabilis clearing ops dumating tulong partida lindol bohol zamboanga siege nagawa,Negative,Hate
mga supporter bigyan naman malalim dahilan bakit iboboto hindi yung sasabihin sakin dahil ayaw lugaw fyi lista comelec pagka pangulo oct,Negative,Hate
mga abangers media comelec para alam resulta dq cases maibalita pero yung pagkahabahabang caravan dedma,Negative,Hate
election kaya natulong bbm?fyi kahit wala siyang puwesto gobyerno mga nagawa syang pagtulong.yan mula hanggang nakakalimot magpaabot tulong bbm.di alam karamihan pano bihira ibalita mainstream.buti socmed,Positive,Non-hate
dito pala kinuha akala galit kayo ma'am eh mga trolls pala eh,Negative,Hate
nasaan voters noong umabot survey nyan tyak bistado pandaraya noong election,Negative,Hate
kahit pagsama-samahin daw boto talo daw hahahaahha paalala sino ulit nagparecount last vp election hahahahaahhahaah,Negative,Hate
recently had argument with pinklawan asking for court case that proves cheated last election hindi proof nilalangaw caravan kulelat surveys level pagka bulag nakakairita,Negative,Hate
totoo sana debate mga senador haha mukhang tuloy magwithdraw since confirm dn comelec tactics playing role fool fool fool,Negative,Hate
talunin niyo eleksyon akala niyo kung sino kayong mga malinis palibhasa mataas rating lahat hinahalukay mga talunan bwahaha hindi papanig inyo supreme court precedent ysn voice majority ultimate supreme,Negative,Hate
paano masasabi eh hindi nananalo...wala eleksyon sino malalaking gumagastos ads fb...aber...at magnanakaw galit kapwa,Negative,Hate
kris went there own support was there fcking help like she always since time immemorial alam niyo yung pagkabulag niyo hanep yung niyo nagpapakitang election yung too blinded niyo alam mabuti,Negative,Hate
baka pinapaikot comelec huli wagi nangyari alam natin kung magkano,Negative,Hate
hahahhaahhahaah trueeee sayang eh wala daw makakaagaw pwesto clean election,Negative,Hate
nagsisimula mind condition mga tao dilaw dilaw galawan ganyan ginawa last taas ratings tapos nung palapit election nilang binagsak para sabihing iboboto tao mga galawang,Negative,Hate
exciting nakakakaba darating eleksyon lord ibigay ipanalo,Positive,Non-hate
other binili kami abenson blue natanong nag aassist samin kung sino daw kandidato iboboto namin election sinabi papa leni-kiko kami tinanong nya kung sino iboboto,Neutral,Non-hate
haha galit galit kasi natamaan diyos vpa pala mga sinungaling magnanakaw kinikilabutan,Negative,Hate
ewan sayo wala naman maipakita zero votes eh niloloko taumbayan maam grabe parang sinabi minaubra sir ma'am patunay,Negative,Hate
bakit hindi dinisqualified comelec yung mga ex-convict tapos pagdating gusto ipadisqualified dahil pakana carpio mga cpp-npa slash mga partylist nagrally mga obob,Negative,Hate
pwede mong gawin mag-ipon tissue kasi halalan natalo kandidato grabe nginig iyak bitterness isisisi tulad problema kaya ihanda pagkatalo vp pagkapanalo,Negative,Hate
times nag times natalo survey umaasa kayo mama feelingera mga kakampinks parin matanggap talo mama kahit wala election,Negative,Hate
paano kanyang cancellation diba mga proof nman tax evader hindi cancel comelec candidacy nya....ang takot namin baka magkaroon nman glitch during election counting hindi karapat,Negative,Hate
kaya pupulutin natalo election sino naman kaya susunod puppet dilaw,Negative,Hate
grab driver sir sino boboto election sir kgd suportado nung nakaraan pero wala syang ginawa kaya sir perfect dahil,Positive,Non-hate
pano nalang kaya natalo madumb election iyak,Negative,Hate
"nandaya kc kasama anomalya smartmagic kaya nagtatago andres ibang bansa.former comelec chairman,alipin abnoy penot boss lenitae",Negative,Hate
ganito katanga kasakim kapangyarihan mga dilaw kung natuto lamang silang maghintay tamang oras kinuha sana dswd position eh nakalibre kampanya papogi points botante eleksyon,Negative,Hate
yung ibang mga politician nagpapa relevant naman talaga kapag election vp wala position totoong tumutulong mga tao even own little way,Positive,Non-hate
wish sana matupad wish oryang which also wish mam team this coming election,Positive,Non-hate
preliminary hearing disqualification case laban itinakda comelec january,Neutral,Non-hate
pakugon pakitang tae loslos ninyo kung eleksyon utot muadto manabang dont,Negative,Hate
lord praying for your guidance please help filipinos choose right leader this election huwag kaming hayaang masadlak linawin pagiisip iguide kami makita takot inyo tunay nagmamahal,Positive,Non-hate
kadiri namigay election paraphernalia,Negative,Hate
galit galit isang fem.dahil daw kuno lahi magnanakaw daw.pero namang mga dilawan naghalal noon isang magnanakaw magnanakaw lupa mga magsasaka.nakakatawa puro mga hipokrito mga dilawan mga piling mabubuti,Negative,Hate
lol tsaka kung mapapansin gumalaw nung eend nung term dueterte near election presidency etc kung pure intention nyan sana naging professional parang bula nawala nung early term digong walang cooperation sariling mundo,Negative,Hate
won baguio last election salamat mga taga baguio walang takot pagsuporta vp,Positive,Non-hate
sana tulad mga galit moonton yung mga boboto halalan,Negative,Hate
yuck napakababa standard mga dilawan clean election,Negative,Hate
problem with that nagpaparty habang binabagyo vizmin nagpaparamdam election hahaha,Negative,Hate
"sorry doon galit galit yun kung manlait dahil tao kayo salot lipunan just thankful kayo mayaman kayo huwag kayong manlait tapos election mamalimos kayo boto mga mahihirap,itsura ninyo",Negative,Hate
tinatakot sasalita against mga gago kayo tangnang magagawa kung merun salita about madami eh hahahaha mga ulol mga talanun mga bobo kupal walang talo kayo tagal eleksyon,Negative,Hate
lahat kandidato ngayong halalan vp talaga nakita namin bumisita dito cebu doon bohol tunay talaga nya daghang salamat madam vp feel your love compassion for cebuanos,Positive,Non-hate
alamat lugaw larawan ni:pusang gala noong panahon eleksyon bansang isang babaeng bigla nalang lumitaw mundo politika.ang kanyang adbokasiya mamahagi lugaw continued daw makakain niyan kuting,Negative,Hate
me:baby election boto sarah ahh..sabihin sarah tayo..buti plaa niya lng pati boyfriend sinasabihan kung sino,Positive,Non-hate
pwede tapos ipalit niyo iddq sobrang namin promise,Negative,Hate
yuck dirty gaming umayos kayo,Negative,Hate
congratulations presidential candidates election name but aware narin mga natin dahil allow para lituhin botante number,Positive,Non-hate
habang papalapit papalapit eleksyon lalo tayong dadami basta mapagod pagsuporta president,Positive,Non-hate
galit abs alam kung bakit kasi sinuportahan kandidato abs nung eleksyon hahahhaha,Negative,Hate
yung while madam trying best help victims typhoon odette sasabihin naman pakitang tao kasi eleksyon excuse pero matagal ginagawa madam kahit wala eleksyon ewan,Negative,Hate
supporters were ready fight kahit tinatanong bakit yun iboboto they just basta kami kami like but don't want waste time mga trolls kaya akala malakas talaga magkakaalaman election,Negative,Hate
iiyak tuwa election kc panalo,Positive,Non-hate
presidenti inutil paano kaya bise eh pulang kaya tayong mamamayan salamat naipanalo natin noong nakaraan election naging ilaw mamamayan dilim vpresident,Negative,Hate
alam yung sponsor that's reason why naghahabol when register for election sobrang nagiging magastos kaya kailangan connection para makalikom sponsor magsusustain kanila both for campaigning securing votes from these ppl,Negative,Hate
kaya kumukuha pera para commercials mga ginagamit niya for election diba jobless daw kapatid niya,Negative,Hate
labasan saln para magkaalaman kung sino tunay masa yun bigla kayo naghirap eleksyon mga hipokrito pwe,Negative,Hate
napag-usapan namin yung pasig marikina agarang action lgus mga nasabing lungsod pamumuno kanilang mayors bilang botante tinanong kung alam niya yung mga proyekto simula nung pandemya hindi yung ngayong nalalapit yung election,Neutral,Non-hate
tapos magrepacked factcheck kuda nung nakita sasabihin election kasi kaya nandyan for know nakikipag coordinate palang vp natin nakaready nagttweet,Negative,Hate
yung kong bakla kingina laging galit sakin pero mga kaklase kong lalaki naman nagpapasa pumapasok walang masabi kingina sawa kong makisama sa'yo nung sg election,Negative,Hate
set aside pulitika eh halos lahat retweet today puro batikos pagtulong vp nasalanta bagyo vp consistent pagtulong maraming taon dahil eleksyon,Negative,Hate
hinintay ibasura lahat petisyon laban from start alam nyong wala wenta lahat hintayin bayaran kayo mga anti pra palusotin subukan papayag nakararami ibenta uli kami not this time,Negative,Hate
hiling petitioner pagpapalabas dokumento tax case ibinasura comelec,Neutral,Non-hate
estimate botante ncr kung bibilhin tig voter gagastusin nya ncr simple counter dyan idocument proseso vote buying kapag isang witness recipient tatayo aandar comelec,Negative,Hate
tayong makigulo pulitika not after whoever that dun patas lumaban uhaw pagtulong pagmamahal hindi uhaw kapangyarihan pero wala nmn alam compare vp lenie alam nmn natin kung sino karapatdapat,Negative,Hate
hindi talaga binoto dutz last election kasi malaki yong disgust kanya inaaway nya mga pari mahilig magmura hindi talaga nakikita kanya traits good leader thing yong tungkol dds marami nagpapatotoo nyan,Negative,Hate
iyak mga dilawan alam niyo kayo election..dito malilinlang bias media,Negative,Hate
yung mga trolls bayarang personalidad bulag tagobo paano nakakasigurado future after election huli wala silang mapapala kung akala masisira sira sira pagkatao sinisira sarili,Negative,Hate
funny itong lugaw binabalita haba minutes naku kaya ayoko nanonood nataon bus kanina take note yung nagrally comelec iilan talagang yun special report tina panganiban yung dq pero yung caravan wala,Negative,Hate
agree zero votes for gordon darating halalan mga kapwa akong ikampanya votes para gordon katakot mahalal muli senado masyadong abusado it's for gordon,Negative,Hate
i've been watching debate series for election while naramdaman yung intense batuhan mga statements questions bigla tuloy akong na-excite debate for next year's election makikita talaga kung sino yung bobo,Positive,Non-hate
between sino kaya highest spender last natl election,Neutral,Non-hate
sobrang delusional mga fans yuck dalawang result daw eleksyon either dinaya mga bobo amputa natalo kayo noong matatalo ulit kayo,Negative,Hate
eleksyon kaya nandyan well kayo nasaan tuwing bagyo noong mga nakaraang taon abogada palang mga mahihirap noong hanggang naging vice president walang serbisyo para cruz,Positive,Non-hate
inaraw-araw mga pinks pagsigaw magnanakaw mga walang bahid lugaw pero namamayagpag ayaw karamihan mga botante lugaw tingin tanga ganyan pangangampanya ninyo hanggang araw eleksyon,Negative,Hate
wow saan point nkuha madadaya leni.edi naninawala pala nangyayaring dayahan election.di nman cguro kayo takot sariling multo,Negative,Hate
thank for buti lng nanjan kung wla cguro mangayayari ating lahat kya darating eleksyon patuloinpo nating suporthan ating iboto sara darating eleksyon,Positive,Non-hate
millon views manifesting praying magiging boto vp after election papa god ibigay,Positive,Non-hate
gusto yung dahil consistency vp pagtulong panahon kalamidad hindi masasabing pakitang tao vp dahil eleksyon,Positive,Non-hate
katakot election kanina manginginig talaga candidate for president,Negative,Hate
true sobrang tawa nito nakakatuwa noh stress free.nawala antok dto mga papers ginagawa clean election,Positive,Non-hate
tulad dati test stamina talaga eleksyon sobrang sipag kaya napipilitan silang sabayan advantage pondo lumalakas naman momentum campaign grassroot kaya pede ikibit balikat think malaki takot,Positive,Non-hate
nais presidential aspirant vice president magkaroon voting centers bpo companies para mga empleyado nito para darating eleksiyon basahin buong ulat,Neutral,Non-hate
mga ayaw mabudol halalan,Positive,Non-hate
naman upcoming election daming tumutulong,Positive,Non-hate
palakpak tenga mga trolls naman magpapasaya inyo hahaha iyak kayo eleksyon bleh,Negative,Hate
nakakalungkot isipin iboboto sana election kung hindi pumunta nasayang nanang,Negative,Hate
media wla photo ops hindi wla pake vp bsta bukal knya tumulong kahit hindi election,Positive,Non-hate
pangalan pala sinabi dun alam last niya bobo,Negative,Hate
galit taumbayan liberal mga dilawan mataas maaring huhupa hanggang election walang ibang sisihin nito kon masyadong niligalig isyu pinahiya sukdulan wala,Negative,Hate
election talaga puro mukha mga politicians antipolo puro tarpaulins pero best yung malaking tarpaulin tikling eh pink malakas,Positive,Non-hate
ows tlaga kaya bigla nawala comelec chairman haha,Negative,Hate
was then blue they said support eh maka-abscbn eh kami she kept saying abs has tax cases etc etc was like then explain mga filing taxes tax evasion case plus nagawa,Negative,Hate
sure kung nabuo simbang gabi kasi naman magsimba churches lols anyways wish vp election,Positive,Non-hate
lantaran first time yari habang nag iikot namimigay pera ilang taon hindi ganito galanti mamimigay takot kayo jimenez commelec,Negative,Hate
really regretted for not voting vp last election buti nalang nanalo yung binoto kong narcos,Positive,Non-hate
tinawag senador calamity politics naging panawagan senador emmanuel mga kapwa niya kandidato magtulungan upang maayudahan mga biktima bagyong odette read full article here,Neutral,Non-hate
"sinong bobo tinutukoy sarili kung makapang bobo excuse yung nameke dimploma,hindi nagbabayad tax lumalabas kapag eleksyon bulag kana katotohanan wala kading kang umasang ibabalik sayo nakaw yaman nyan",Negative,Hate
naalo datating pres election maghigpit sinturon,Negative,Hate
kung pang-internet naman kayo pangtwitter hope did some research nalang mga nagawa tuwing typhoons partida malayo election yung mga read here nalang kumuda,Positive,Non-hate
hugas kamay carpio pagfile dq against kasi sobrang hina kasi kahit napakahina need iaddress comelec mandato dahil tanga kayo galit kayo maniniwala kayo dyan,Negative,Hate
talaga kapag eleksyon accelerated bigla lahat,Negative,Hate
nagpalabas summons kaugnay disqualification petition laban via rh watch,Neutral,Non-hate
fyi hindi first time vp tumutulong kahit hindi election period nanaman iniiyak,Negative,Hate
extent dayain election para makapagbayad utang jesse argument bakit nanalo dayaan sagot does care about because lp's only agenda hanggang ngaun takot dahil maraming malalamang kalokohan dilawan,Negative,Hate
comelec resolve bbm's case/may paliwanag palasyo atras via,Neutral,Non-hate
mga dds tanso daw paki walis mga grupong kongreso darating halalan...please maawa kayo kapwa natin,Negative,Hate
need read such waste time talo naman vp eh after this coming election baka change career baka maging news anchor kasama abiascbn,Negative,Hate
anu bigla nabuhay para tumakbo election walang credibilidad,Negative,Hate
still waiting photo-ops hahahahaha wala kayong makukuha kasi ganto naman malapit eleksyon fucking clown,Negative,Hate
mabuti natalo daddy bonoy last election ksabay,Negative,Hate
"take care self po,raissa,merry christmas iyo,laban lang,i wish jail bastos bibig,larry gadon ginawa saiyo pagbabastos,attack dog bbm,and wish fine p200m disbar him niya,teach him good lesson,an video ilabas election",Negative,Hate
dahil hindi pinasalamatan ibig sabihin walang tinulong check yung political affiliations arthur yap election season yung omission pangalan obvious,Negative,Hate
totoo ayong madisqualify gusto makatakbo gusto kong matuloy kandidatura nya gustong makita syang matalo uli gusto kong makita aapela naman comelec dinaya gusto kong makita ipamukha uli kanya talunan,Negative,Hate
kapag kpop usapan kpop kapag election usapan election kaya lumalaki away wapakels kung boto basta kung sino i-accept wala madaming dakdak kunyatan bunbunan,Negative,Hate
yung failure file itr settle korte mga cory appointee judges bir certified bayad fine tagal kaya kayo iiyak binasura comelec petition dq,Negative,Hate
itong socrates malakas lider nagtataboy mga tao pumunta dahi mga ginagawa nya sinasabi kailangan vpleni itago nyu hanggang after election maubos mamboboto,Negative,Hate
"confident,nangyari last election tinalo lbm tatlong beses pa.haha",Positive,Non-hate
wala lugar kuda nyong mga matagal busy vp tuwing krisis sakuna ewan isang presidentiable dyan lumilitaw eleksyon,Negative,Hate
umasang makakancel takot comelec makuyog,Negative,Hate
naulol nahuluan kabobita try read court appeals decision para nagmumukhang tnga,Negative,Hate
noong lumamang sws survey during vice-presidential election bayad yun diba lamang isang survey commissioned pro-leni saan bayaran doon,Negative,Hate
haha what trash kikilos oras eleksyon halataang hindi makaintindi sadyang hindi iniintindi kapalpakan current admin covid response idk kung current vp proved self worthy being leader bobo,Negative,Hate
nako umasang makakatakbo eleksyon andami mong kinakaharap,Negative,Hate
awww accusations without proof another fraud sht here dba hindi kaya tanggapin kahit st.lukes trustworthy accredited drug center confirmed bbm's drug results ikaw drugs teh fyi nagpatest dati,Negative,Hate
ganyang ganyan tunggali trillanes vp race rate vp pero mismong election time natalo vp gaano kilala tapos baguhan noong time akala kasi survey nakikita naman,Positive,Non-hate
mga ka-loyalista ibinasura comelec mga petitions upang idisqualify kandidatura,Positive,Non-hate
from mamafenk sure namang hindi mananalo mamafenk worry kami position baka mapuyat kami kakabantay bilangan last eleksyon nag idlip nanalo bigla yun,Negative,Hate
eh mananalo kaya maraming nagsasabi massive fraud nung election..remember smartmatic noon hindi lahat nangyare noong election magiging karma,Negative,Hate
petisyon para mailabas bir records ibinasura comelec,Neutral,Non-hate
ginagawa hahaha masasaktan kayo oagdating election,Negative,Hate
nanalo mananalo vp election,Positive,Non-hate
kris bakit parang utang loob mga tao nagbigay kayo ayuda ngayong sakuna ahhh kasi halalan nirerepresent kasi hindi pagmamahal kanila kris kasi kailangan nilang bayaran election laman statement,Negative,Hate
yeyy andito eleksyon kasi eh since natulungan covid naitulong wala bakit eh malayo eleksyon eh cute camera start dati sana tumutulong pero wala tlga eh,Negative,Hate
bumabangon wala eleksyon sobrang lakas pati patay nakakaboto,Negative,Hate
big deal dismiss comelec petition ideclare nuissance candidate mabigat yung petition cancellation coc dahil malinaw niya dineklara coc convicted for evasion importante big deal nuissance candidate petition,Neutral,Non-hate
harapan simbahan taas mercury drug laki pagmumukha pakiramdam inis inis mga pari kapag nagmimisa kaya tuloy laging misa tungkol eleksyon,Negative,Hate
isingit yung source code comelec para elections matutukan mukhang naprogram ready yata operations,Negative,Hate
ayus kc sooooooooobrang dami tao pwede...iyak nalang,Negative,Hate
same dad's supporter his opposite hahaha tbh wala nman political eh respect nung expect same naman kailangang personalin since talo-talo after election,Positive,Non-hate
immoral taong nagmumura lalo minamaliit niya aired via socmed tinatawag tayong moral ethics kum baga school transferee kailangan cert good moral since panig niya hanay bbm/sara nganga,Negative,Hate
christmas wish ulit darating eleksyon,Positive,Non-hate
sulit binabayad mga vp sobrang sipag magtrabaho ayaw nya nakaupo opisina maraming salamat pagsisilbi vp makakaasa kayo boto susunod eleksyon,Positive,Non-hate
need resign now wala ginagawa mabuti parati sabihin wala pera nag but sarah magnanakaw namimikay pera mga buong million para election addict niya butohin both corrupt,Negative,Hate
dq binasura comelec lihaylihay petition tinawag via,Neutral,Non-hate
nung uupo nyang vp syempre election kailangan nyang epal hindi tax evasion filing yun automatic deduction tax nya kc governor kung nakapag maiintindihan,Negative,Hate
week before elections laging accurate yung surveys kung sino leading yun yun kaya qualifying yung sinabi kung bukas election panalo pero pwede pang@mabago atmosphere but now wala tayu talaga,Neutral,Non-hate
gigil bvo sa'tin dfjkdkjs bumoto kayo dito susunod election emz,Negative,Hate
head-to-head fight daw between madumb halalan bwahahahaaa baka head-to-foot ibig nyang sabihin layo lamang survey noon pa'y sinabi kahit million votes madumb nyahahahaa,Negative,Hate
galit bdo because lost funds pero suportado niya magnanakaw eleksyon pwede move nalang nawala mong pera past past,Negative,Hate
medyo matagal advertising pero naka-experience from different agencies/companies freelancers also doing pro-bono for election sparked flame this fight for future,Positive,Non-hate
sir itna easy lein baqi parties election harti hai itna knee jerk reaction nahi krti kisi dosri aise panic button dbaya kabi moqy faida utha electables pti saktay hain govt dissolve sakti bht jald,Neutral,Non-hate
pinapa-cancel coc kasi takot silang last nat'l election pinacancel,Negative,Hate
makikita kung uring leader itong bobong mananalo xia pde namang muli mandaraya uli xia next election gawin maranasan tunay power,Negative,Hate
alam kung titing survey wala eh panalo election hahahaha sure yun hahaha ewan nalang kung matalo baka wala mga tao hahah depend matalo nnmn kung dadaya nnmn haha alam,Positive,Non-hate
kaya putang talaga lugaw mahilig manglimos sabagay kelangan niya para election,Negative,Hate
yolanda ginamit mga dilawan lalo mama vp para magamit ulit nya,Negative,Hate
"ginoong barbs,lumang tugtugin para makakuha kayo simpatya.kayo takot kahapon kibibilangan nag file dq comelec laban balik argumento baka naman tinanggal eh dahil masakit pinag-gagawa ninyo",Negative,Hate
convert akong grab driver boboto darating eleksyon,Positive,Non-hate
when your supporters have crap for brains there team but there ganon kung menenenos trabahong ginagawa mga iba't-ibang sangay pamahalaan para maiparating tulong ating mga kababayan good luck halalan,Negative,Hate
not mistaken vice president phils now while not government official db bakit hinahanap tao samantalang dati prrd iniisyuhan halatang paninira for election kesyo hindi tumutulong,Negative,Hate
kahit troll patulan comments tingin makaka kuha ulit votes lamang last election yung yun tingin hindi kaya habulin ngayong election lalo tandem nya sara sagottttt,Negative,Hate
buking modus taga comelec biglang galit huwag linlang mga puppet mga,Negative,Hate
wait matatapos term vp try kaya wait disqualification case lbm baka hindi umabot election result,Negative,Hate
paano turulong kahit eleksyon eh hinaharang kampo tssss,Negative,Hate
tapos hilig sabihin mga supporters niya hindi daw coherent magsalita ulol,Negative,Hate
hindi kelangan pic video ginagawang tulong yolanda survivor way back nov was there namimigay tulong kaya masasabi kong lng ngaung eleksyon nagpaparamdam noon ginagawa nya pagtulong,Positive,Non-hate
hanep talaga woke pinklawan election tactics naman take command your troops nagsasabog nagkakalat sabotaging your campaign kung election campaign control mga tao messaging paiiralin kung makakatapak kapangyarihan,Negative,Hate
hindi paunahan pagtulong troll least vp tunay hangarin hindi dahil eleksyon tsaka mag-english troll mali-mali naman quota dami nagreply sayo god bless,Negative,Hate
kung dadayain comelec might well cancel bbm's coc hahahaha,Negative,Hate
matagal tumutulong kahit election check niyo mga previous niya kahit yun pandemic dami niya nagawa tulong ihalo politics,Positive,Non-hate
nabago puro trapo pinagusapan nmn yung takot dios lumika iboto election walang kundi,Positive,Non-hate
marami akong nababasa naiinis ginagawa eepal ngayong bagyo hambalang relief efforts aid eleksyon ginagawa nya yung panghihingi donasyon gagamitin eleksyon hayan wokes mulat mga tao,Negative,Hate
pagkakataon para years wala ginawa election pala kailangan para,Negative,Hate
mga clueless talaga mga followers they comparing last election false asia daw lol,Negative,Hate
